Description,Title,Co-ordinates
Arts & Heritage  - Memorials - Fountain,Coles Fountain,"-37.8097706399894, 144.973483970263"
Arts & Heritage  - Memorials - Sculpture,World War 1 Memorial,"-37.7915502247943, 144.958086476511"
Arts & Heritage  - Sculpture - Memorial,"Sir Edward ""Weary"" Dunlop","-37.8253098033481, 144.971594258329"
Arts & Heritage  - Sculpture - Sculpture,The Travellers,"-37.8200793788538, 144.962960549385"
Arts & Heritage  - Memorials - Garden/Sculpture,Pioneer Women's Memorial,"-37.825114779701, 144.976076236026"
Arts & Heritage  - Sculpture - Memorial,Sir Thomas Blamey Memorial,"-37.8263011012613, 144.972818905824"
Arts & Heritage  - Sculpture - Pavement inlay,Personal Islands,"-37.8129540652895, 144.96526492562"
Arts & Heritage  - Sculpture - Sculpture,A History Apparatus - Vessel Craft & Beacon,"-37.8130493644912, 144.968210954796"
Arts & Heritage  - Sculpture - Fountain,Stanford Fountain,"-37.8124342540301, 144.973955471734"
Arts & Heritage  - Sculpture - Sculpture,Diana and the Hounds,"-37.8143067766605, 144.978499425414"
Arts & Heritage  - Sculpture - Sculpture,Wind Contrivance,"-37.8072518916019, 144.959230565812"
Arts & Heritage  - Memorials - Fountain,Grant's Fountain,"-37.8074703758618, 144.968593327348"
Arts & Heritage  - Sculpture - Fountain,River God Fountain,"-37.8104167228785, 144.980882423169"
Arts & Heritage  - Sculpture - Monument,Port Philip Monument,"-37.8056957677722, 144.907290986476"
Arts & Heritage  - Sculpture - Sculpture,John Pascoe Fawkner Memorial,"-37.8176770551424, 144.959995293311"
Arts & Heritage  - Sculpture - Docklands Sculpture - Cow Up a Tree,Cow Up A Tree,"-37.8171223481362, 144.945279735113"
Arts & Heritage  - Memorials - Fountain,Grey Street Fountain,"-37.8115435006444, 144.982950886232"
Arts & Heritage  - Sculpture - Sculpture,Farnex Hercules,"-37.8211092934829, 144.969673116962"
